,data,file,status
0,"[[[213 183 248]
  [198 167 234]
  [159 128 195]
  ...
  [187 168 225]
  [148 125 193]
  [184 161 236]]

 [[162 134 193]
  [251 223 255]
  [132 101 162]
  ...
  [153 131 190]
  [205 183 248]
  [180 155 229]]

 [[116  91 141]
  [246 218 255]
  [136 107 162]
  ...
  [182 157 219]
  [169 142 208]
  [152 124 194]]

 ...

 [[ 96  58 124]
  [138 101 171]
  [188 151 225]
  ...
  [152 119 186]
  [159 124 191]
  [167 132 199]]

 [[ 75  40  97]
  [ 68  31  93]
  [118  82 152]
  ...
  [157 123 194]
  [175 138 208]
  [171 131 202]]

 [[ 59  23  75]
  [ 84  49 105]
  [161 127 192]
  ...
  [146 109 183]
  [185 147 219]
  [119  77 148]]]",00001b2b5609af42ab0ab276dd4cd41c3e7745b5,1
1,"[[[245 246 242]
  [245 246 242]
  [245 246 244]
  ...
  [211 211 223]
  [221 223 234]
  [211 213 224]]

 [[243 246 244]
  [243 246 244]
  [243 245 245]
  ...
  [222 221 231]
  [203 204 214]
  [206 207 217]]

 [[241 245 246]
  [241 245 246]
  [241 245 246]
  ...
  [249 246 255]
  [238 236 242]
  [250 248 254]]

 ...

 [[228 231 236]
  [239 242 247]
  [237 240 244]
  ...
  [231 228 250]
  [222 220 239]
  [245 244 255]]

 [[245 250 253]
  [220 225 226]
  [239 245 244]
  ...
  [245 237 255]
  [205 199 234]
  [206 202 237]]

 [[235 243 243]
  [234 242 241]
  [248 255 254]
  ...
  [130 118 166]
  [188 179 229]
  [176 170 219]]]",000020de2aa6193f4c160e398a8edea95b1da598,0
2,"[[[224 198 214]
  [105  94 110]
  [171 169 188]
  ...
  [ 55  18  50]
  [ 73  33  61]
  [ 78  33  59]]

 [[255 246 255]
  [216 203 219]
  [247 244 255]
  ...
  [ 55  21  58]
  [ 31   0  28]
  [165 124 155]]

 [[164 128 150]
  [248 228 247]
  [216 208 225]
  ...
  [110  77 121]
  [177 141 185]
  [255 218 255]]

 ...

 [[188 166 195]
  [229 208 241]
  [173 151 193]
  ...
  [ 57   4  47]
  [135  87 129]
  [139  94 133]]

 [[255 246 255]
  [142 125 158]
  [204 181 225]
  ...
  [ 48   1  33]
  [ 60  22  52]
  [100  66  97]]

 [[100  92 115]
  [218 203 235]
  [192 167 211]
  ...
  [ 61  20  41]
  [ 63  31  55]
  [ 42  18  42]]]",00004aab08381d25d315384d646f5ce413ea24b1,0
3,"[[[244 236 236]
  [244 235 238]
  [243 232 240]
  ...
  [240 234 239]
  [238 234 240]
  [237 233 239]]

 [[244 236 236]
  [244 235 238]
  [243 232 240]
  ...
  [241 234 237]
  [241 234 237]
  [241 234 237]]

 [[244 236 237]
  [244 234 240]
  [243 232 240]
  ...
  [243 235 236]
  [243 235 236]
  [243 235 235]]

 ...

 [[194 140 207]
  [211 145 226]
  [202 128 224]
  ...
  [205 144 224]
  [210 153 232]
  [195 143 221]]

 [[209 143 224]
  [222 149 241]
  [188 109 213]
  ...
  [218 155 227]
  [216 156 226]
  [234 177 246]]

 [[188 119 206]
  [208 130 231]
  [197 113 225]
  ...
  [216 150 215]
  [255 208 255]
  [238 178 239]]]",0000d563d5cfafc4e68acb7c9829258a298d9b6a,0
4,"[[[183 103 162]
  [184 101 163]
  [146  60 122]
  ...
  [206 103 184]
  [191  94 160]
  [173  84 134]]

 [[186 106 173]
  [200 117 185]
  [176  91 159]
  ...
  [206 107 177]
  [147  55 108]
  [102  17  55]]

 [[215 133 210]
  [177  95 170]
  [217 135 208]
  ...
  [158  64 119]
  [140  53  91]
  [ 98  15  40]]

 ...

 [[203 145 200]
  [210 146 212]
  [196 124 201]
  ...
  [124  31  70]
  [213 119 160]
  [197 105 148]]

 [[199 144 191]
  [242 182 242]
  [183 115 192]
  ...
  [143  49  96]
  [197 104 155]
  [199 107 160]]

 [[240 182 223]
  [159  96 152]
  [157  88 163]
  ...
  [160  65 116]
  [189  94 151]
  [169  75 134]]]",0000da768d06b879e5754c43e2298ce48726f722,1
5,"[[[247 220 255]
  [ 93  89 130]
  [133 145 187]
  ...
  [ 71  27  68]
  [130 100 153]
  [107  89 150]]

 [[208 179 225]
  [204 192 240]
  [186 187 237]
  ...
  [ 72  35  75]
  [176 151 201]
  [221 208 255]]

 [[180 147 198]
  [164 144 197]
  [157 146 202]
  ...
  [201 172 211]
  [245 228 255]
  [225 217 255]]

 ...

 [[ 77  17  78]
  [ 89  31  89]
  [ 71  20  70]
  ...
  [204 182 241]
  [156 125 186]
  [152 118 179]]

 [[ 86  35  72]
  [ 82  32  72]
  [ 64  18  64]
  ...
  [176 150 220]
  [181 150 229]
  [133  99 183]]

 [[ 76  40  56]
  [ 56  22  46]
  [102  69 106]
  ...
  [171 141 217]
  [195 160 251]
  [160 122 220]]]",0000f8a4da4c286eee5cf1b0d2ab82f979989f7b,0
6,"[[[176 155 200]
  [228 206 254]
  [194 171 223]
  ...
  [182 146 228]
  [179 147 234]
  [166 140 230]]

 [[227 207 250]
  [167 146 191]
  [211 189 238]
  ...
  [193 162 237]
  [178 152 230]
  [166 144 223]]

 [[218 200 241]
  [209 191 232]
  [236 217 255]
  ...
  [201 174 240]
  [180 158 223]
  [178 157 225]]

 ...

 [[246 248 249]
  [243 245 246]
  [246 248 248]
  ...
  [214 204 234]
  [241 234 255]
  [220 214 239]]

 [[247 249 250]
  [247 249 250]
  [247 249 249]
  ...
  [185 174 206]
  [251 243 255]
  [225 217 247]]

 [[245 247 248]
  [247 249 250]
  [248 250 250]
  ...
  [237 226 255]
  [200 191 224]
  [185 176 209]]]",00010f78ea8f878117500c445a658e5857f4e304,0
7,"[[[255 250 255]
  [243 234 247]
  [255 250 255]
  ...
  [209 210 236]
  [208 215 235]
  [218 226 243]]

 [[239 230 243]
  [255 250 255]
  [248 241 254]
  ...
  [216 211 242]
  [246 244 255]
  [201 202 228]]

 [[236 229 242]
  [255 250 255]
  [196 189 202]
  ...
  [165 151 192]
  [221 210 248]
  [230 223 255]]

 ...

 [[245 249 250]
  [244 248 249]
  [245 247 248]
  ...
  [248 247 249]
  [248 247 251]
  [248 247 251]]

 [[244 251 246]
  [243 248 246]
  [244 246 246]
  ...
  [247 246 250]
  [247 246 250]
  [247 245 251]]

 [[244 253 243]
  [242 249 244]
  [241 246 245]
  ...
  [247 246 250]
  [247 245 251]
  [247 245 251]]]",00011545a495817817c6943583b294c900a137b8,0
8,"[[[142  28  68]
  [154  51  96]
  [162  73 123]
  ...
  [205 112 227]
  [206 114 225]
  [190  99 208]]

 [[163  55 101]
  [128  29  77]
  [133  45  98]
  ...
  [228 137 252]
  [229 139 252]
  [209 122 232]]

 [[139  44  94]
  [170  78 131]
  [167  80 136]
  ...
  [185  97 211]
  [185  99 211]
  [224 141 250]]

 ...

 [[165  92 160]
  [164  95 162]
  [165  96 163]
  ...
  [229 221 228]
  [229 220 230]
  [229 220 230]]

 [[180  94 166]
  [107  37 108]
  [246 184 254]
  ...
  [228 220 230]
  [229 220 230]
  [229 219 231]]

 [[255 161 236]
  [213 143 214]
  [144  84 155]
  ...
  [228 220 230]
  [228 220 231]
  [229 219 231]]]",000126ec42770c7568204e2f6e07eb9a07d5e121,0
9,"[[[159  83 184]
  [135  61 157]
  [123  47 135]
  ...
  [228 226 225]
  [229 227 226]
  [229 227 226]]

 [[187 115 191]
  [148  76 152]
  [150  76 152]
  ...
  [230 225 226]
  [230 225 226]
  [231 226 227]]

 [[175 108 153]
  [197 128 178]
  [161  89 149]
  ...
  [228 222 227]
  [227 222 224]
  [227 222 224]]

 ...

 [[161  75 169]
  [190 112 196]
  [214 148 220]
  ...
  [174  83 146]
  [240 148 219]
  [176  87 157]]

 [[193 101 196]
  [240 162 246]
  [179 115 187]
  ...
  [170  82 148]
  [226 139 219]
  [174  88 172]]

 [[149  52 148]
  [244 161 246]
  [228 165 239]
  ...
  [255 189 255]
  [204 119 204]
  [168  85 177]]]",00014e39b5df5f80df56f18a0a049d1cc6de430a,1
